"AAL","Terminal 1","Aalborg Airport Lounge"
"AAQ","Domestic Terminal","Business Lounge"
"AAQ","Main Terminal","VIP Lounge"
"AAR","Main Terminal","Aarhus Airport Executive Lounge"
"ABA","Main Terminal","Abakan Airport Business Lounge"
"ABJ","Main Terminal","Aeria Lounge"
"ABV","Domestic Terminal","Airspace Lounge"
"ABV","Domestic Terminal","@9tysix Lounge"
"ABV","Domestic Terminal","Lounge One"
"ABV","International Terminal","The Gabfol Lounge"
"ABV","International Terminal","British Airways Executive Club Lounge"
"ABV","International Terminal","FAAN Lounge"
"ABZ","Main Terminal","Eastern Airways Lounge"
"ABZ","Main Terminal","British Airways Lounge"
"ACC","Domestic Terminal 2","Adinkra Lounge"
"ACC","International Terminal","Sanbra Priority Lounge"
"ACC","International Terminal 3","Akwaaba Lounge"
"ACC","International Terminal 3","Adinkra Lounge"
"ACE","Terminal 1","Sala VIP Guacimeta"
"ACH","Main Terminal","People's Business Airport Lounge"
"ACX","Main Terminal","Business Center"
"ADA","Domestic Terminal","VIP Lounge"
"ADA","Domestic Terminal","Turkish Airlines CIP Lounge"
"ADB","Domestic Terminal","Turkish Airlines CIP Lounge (Elite Lounge)"
"ADB","Domestic Terminal","Turkish Airlines CIP Lounge (Business Lounge)"
"ADB","International Terminal","VIP Lounge"
"ADD","Terminal 1","Ethiopian Airlines ShebaMiles Lounge"
"ADD","Terminal 2","Ethiopian Airlines Star Alliance Gold Lounge"
"ADD","Terminal 2","Ethiopian Airlines Cloud Nine Lounge II"
"ADD","Terminal 2","Ethiopian Airlines Cloud Nine Lounge I"
"ADL","Terminal 1","Qantas Airways Chairman's Lounge"
"ADL","Terminal 1","The Rex Lounge"
"ADL","Terminal 1","Virgin Australia Lounge"
"ADL","Terminal 1","Qantas Club (International Business Lounge)"
"ADL","Terminal 1","Singapore Airlines SilverKris Business Class Lounge"
"AEP","Main Terminal","Aeropuertos VIP Club Lounge"
"AER","Domestic Terminal","Domestic Business Lounge"
"AER","International Terminal","International Business Lounge"
"AER","VIP Building","Sochi Airport VIP Lounge"
"AER","VIP Terminal","Sochi Airport VIP Terminal"
"AES","Main Terminal","SAS Café Lounge"
"AGA","Terminal 1","Pearl Lounge"
"AGP","Terminal 3","Sala VIP"
"AGU","Terminal 1","VIP Lounge Aguascalientes"
"AHB","Main Terminal","Tasheel First Class Lounge"
"AKJ","International Terminal","Lounge SORA"
"AKL","Domestic Terminal","Air New Zealand Elite Priority One Lounge"
"AKL","Domestic Terminal","Air New Zealand Regional Lounge"
"AKL","Domestic Terminal","Air New Zealand Domestic Lounge"
"AKL","International Terminal","Air New Zealand International Lounge"
"AKL","International Terminal","Air New Zealand Elite Priority One Lounge"
"AKL","International Terminal","The Emirates Lounge"
"AKL","International Terminal","Qantas Airways International First Lounge"
"AKL","International Terminal","Qantas Airways International Business Lounge"
"AKL","International Terminal","Strata Lounge"
"AKU","Main Terminal","VIP Lounge"
"ALA","Main Terminal","Almaty International Airport Business Lounge"
"ALA","VIP Terminal","VIP Lounge"
"ALC","Main Terminal","Sala Ifach"
"ALG","Terminal 1/2","Salon Premiere Classe"
"ALG","Terminal 1/2","Airport Authority Lounge"
"AMM","Terminal 1","Petra Lounge"
"AMM","Terminal 1","Royal Jordanian Crown Lounge"
"AMS","Main Terminal","Star Alliance Lounge Amsterdam"
"AMS","Main Terminal","Privium ClubLounge"
"AMS","Main Terminal","British Airways Galleries Club Lounge (40)"
"AMS","Main Terminal, Concourse D","KLM Crown Lounge (25)"
"AMS","Main Terminal, Concourse F","KLM Crown Lounge (52)"
"AMS","VIP Terminal","VIP Centre"
"ANC","South Terminal, Concourse A","Atwood Military Lounge"
"ANC","South Terminal, Concourse C","Alaska Airlines Alaska Lounge"
"ANF","Main Terminal","Salones VIP Pacific Club"
"ANU","Main Terminal","Executive Lounge"
"AOG","Main Terminal","First Class Lounge"
"AOJ","Passenger Terminal","Airport Lounge"
"APL","Main Terminal","Flamingo Lounge"
"AQP","Main Terminal","Sala Misti"
"ARH","Domestic Terminal","VIP Lounge"
"ARH","International Terminal","Business Lounge"
"ARH","Main Terminal","Talagi Airport Lounge (Domestic, 2nd Floor)"
"ARH","Main Terminal","Talagi Airport Lounge (Domestic, 1st Floor)"
"ARN","Terminal 4","SAS Domestic EuroBonus Gold Lounge"
"ARN","Terminal 5","Pontus In The Air (American Express Lounge)"
"ARN","Terminal 5","Swedavia Stockholm Arlanda Airport Lounge"
"ARN","Terminal 5","SAS Gold Lounge"
"ARN","Terminal 5","SAS Lounge"
"ASB","Main Terminal","Airport Business Lounge"
"ASF","Main Terminal","Astrakhan Airport Business Lounge (International)"
